ticker,month,open,high,low,close,volume,vwap
AMZN,2008-03,3.11,3.8465,3.06,3.565,3853712000,3.565
AMZN,2008-04,3.854,4.132,3.5325,3.9315,3956988000,3.9315
AMZN,2008-05,3.821,4.2375,3.578,4.081,3051464000,4.081
AMZN,2008-06,4.0575,4.244,3.631,3.6665,3058114000,3.6665
AMZN,2008-07,3.612,4.119,3.1495,3.817,4316266000,3.817
AMZN,2008-08,3.7995,4.5875,3.7025,4.0405,2980888000,4.0405
AMZN,2008-09,4.03,4.3385,3.066,3.638,3849268000,3.638
AMZN,2008-10,3.589,3.5995,2.1655,2.862,6641494000,2.862
AMZN,2008-11,2.07,2.9365,1.734,2.135,4561030000,2.135
AMZN,2008-12,2.008,2.7425,1.941,2.564,4123886000,2.564
AMZN,2009-01,2.5675,2.987,2.3815,2.941,4081446000,2.941
AMZN,2009-02,3.0435,3.368,2.9065,3.2395,3735604000,3.2395
AMZN,2009-03,3.14,3.7805,2.991,3.672,4553446000,3.672
AMZN,2009-04,3.839,4.334,3.5855,4.026,3700640000,4.026
AMZN,2009-05,3.727,4.18,3.655,3.8995,2752068000,3.8995
AMZN,2009-06,4.121,4.428,3.8125,4.183,3041708000,4.183
AMZN,2009-07,4.221,4.72,3.7705,4.288,3509228000,4.288
AMZN,2009-08,4.328,4.41,4.0125,4.0595,2252458000,4.0595
AMZN,2009-09,3.952,4.725,3.8755,4.668,2562436000,4.668
AMZN,2009-10,4.4665,6.284,4.4135,5.9405,5372328000,5.9405
AMZN,2009-11,6.558,6.804,5.8125,6.7955,3206102000,6.7955
AMZN,2009-12,6.847,7.2955,6.2825,6.726,4149422000,6.726
AMZN,2010-01,6.8125,6.8305,5.906,6.2705,4617220000,6.2705
AMZN,2010-02,5.8535,6.243,5.691,5.92,4202916000,5.92
AMZN,2010-03,6.4565,6.9095,5.8765,6.7885,3160852000,6.7885
AMZN,2010-04,7.07,7.5545,6.539,7.0865,3460502000,7.0865
AMZN,2010-05,6.518,6.972,5.876,6.273,2818198000,6.273
AMZN,2010-06,6.201,6.4575,5.3005,5.463,2667570000,5.463
